SAMPLE_ID1,SAMPLE_ID2,SAMPLE_ID3,LAB_L,LAB_A,LAB_B,nm380,nm390,nm400,nm410,nm420,nm430,nm440,nm450,nm460,nm470,nm480,nm490,nm500,nm510,nm520,nm530,nm540,nm550,nm560,nm570,nm580,nm590,nm600,nm610,nm620,nm630,nm640,nm650,nm660,nm670,nm680,nm690,nm700,nm710,nm720,nm730
"""TR651_T35_P1_dmin-0 M1""","""""","""""",86.56,0.05,15.10,3.580330E-1,3.852639E-1,4.093511E-1,4.326355E-1,4.538652E-1,4.755849E-1,4.961219E-1,5.180367E-1,5.397031E-1,5.600898E-1,5.793760E-1,5.986205E-1,6.170810E-1,6.329277E-1,6.487898E-1,6.641475E-1,6.793262E-1,6.918244E-1,7.019571E-1,7.142069E-1,7.220970E-1,7.304508E-1,7.392207E-1,7.486632E-1,7.567620E-1,7.628710E-1,7.697670E-1,7.774603E-1,7.853167E-1,7.919339E-1,7.985648E-1,8.056071E-1,8.137375E-1,8.201141E-1,8.253143E-1,8.314592E-1
"""TR651_T35_P1_dmin-0 M2""","""""","""""",86.53,0.07,15.25,0.000000E+0,0.000000E+0,4.093511E-1,4.309796E-1,4.524221E-1,4.738204E-1,4.946066E-1,5.167027E-1,5.382310E-1,5.584532E-1,5.777755E-1,5.969455E-1,6.154890E-1,6.315760E-1,6.476074E-1,6.629016E-1,6.779078E-1,6.912454E-1,7.019571E-1,7.142069E-1,7.220970E-1,7.304508E-1,7.392207E-1,7.486632E-1,7.567620E-1,7.628710E-1,7.697670E-1,7.774603E-1,7.853167E-1,7.919339E-1,7.985648E-1,8.056071E-1,8.137375E-1,8.201141E-1,8.253143E-1,8.314592E-1
"""TR651_T35_P1_dmin-1 M0""","""""","""""",86.87,0.08,14.87,3.654866E-1,3.936933E-1,4.179754E-1,4.405012E-1,4.615739E-1,4.831564E-1,5.040874E-1,5.258616E-1,5.474189E-1,5.672599E-1,5.867189E-1,6.057531E-1,6.238097E-1,6.394742E-1,6.549805E-1,6.702312E-1,6.852959E-1,6.980339E-1,7.082052E-1,7.204709E-1,7.284592E-1,7.367437E-1,7.455420E-1,7.547905E-1,7.625884E-1,7.687108E-1,7.756827E-1,7.832825E-1,7.909491E-1,7.975724E-1,8.035743E-1,8.101646E-1,8.178274E-1,8.241364E-1,8.288181E-1,8.346753E-1
"""TR651_T35_P1_dmin-1 M1""","""""","""""",86.88,0.04,14.85,3.654866E-1,3.936933E-1,4.179754E-1,4.404888E-1,4.618787E-1,4.837255E-1,5.044183E-1,5.261264E-1,5.477906E-1,5.677889E-1,5.873092E-1,6.064706E-1,6.245000E-1,6.401760E-1,6.556568E-1,6.709921E-1,6.861063E-1,6.983438E-1,7.082052E-1,7.204709E-1,7.284592E-1,7.367437E-1,7.455420E-1,7.547905E-1,7.625884E-1,7.687108E-1,7.756827E-1,7.832825E-1,7.909491E-1,7.975724E-1,8.035743E-1,8.101646E-1,8.178274E-1,8.241364E-1,8.288181E-1,8.346753E-1
"""TR651_T35_P1_dmin-1 M2""","""""","""""",86.85,0.07,14.99,0.000000E+0,0.000000E+0,4.179754E-1,4.405437E-1,4.608962E-1,4.821514E-1,5.030182E-1,5.247102E-1,5.462618E-1,5.661526E-1,5.856115E-1,6.046854E-1,6.228763E-1,6.387334E-1,6.544887E-1,6.696602E-1,6.846580E-1,6.977371E-1,7.082052E-1,7.204709E-1,7.284592E-1,7.367437E-1,7.455420E-1,7.547905E-1,7.625884E-1,7.687108E-1,7.756827E-1,7.832825E-1,7.909491E-1,7.975724E-1,8.035743E-1,8.101646E-1,8.178274E-1,8.241364E-1,8.288181E-1,8.346753E-1
"""TR651_T35_P1_dmin-2 M0""","""""","""""",87.15,0.10,14.67,3.710181E-1,3.998137E-1,4.251310E-1,4.479205E-1,4.687883E-1,4.905811E-1,5.110604E-1,5.329725E-1,5.540535E-1,5.740430E-1,5.933916E-1,6.124313E-1,6.300805E-1,6.455105E-1,6.610286E-1,6.760707E-1,6.911167E-1,7.039223E-1,7.139983E-1,7.261956E-1,7.342256E-1,7.424259E-1,7.512404E-1,7.604792E-1,7.684547E-1,7.745002E-1,7.815102E-1,7.887825E-1,7.965689E-1,8.027567E-1,8.084891E-1,8.149378E-1,8.225005E-1,8.284944E-1,8.335578E-1,8.396194E-1
"""TR651_T35_P1_dmin-2 M1""","""""","""""",87.17,0.06,14.65,3.710181E-1,3.998137E-1,4.251310E-1,4.480064E-1,4.691901E-1,4.911886E-1,5.114459E-1,5.332678E-1,5.544642E-1,5.745876E-1,5.939766E-1,6.131213E-1,6.307428E-1,6.462510E-1,6.617663E-1,6.768873E-1,6.919301E-1,7.042372E-1,7.139983E-1,7.261956E-1,7.342256E-1,7.424259E-1,7.512404E-1,7.604792E-1,7.684547E-1,7.745002E-1,7.815102E-1,7.887825E-1,7.965689E-1,8.027567E-1,8.084891E-1,8.149378E-1,8.225005E-1,8.284944E-1,8.335578E-1,8.396194E-1
"""TR651_T35_P1_dmin-2 M2""","""""","""""",87.14,0.08,14.80,0.000000E+0,0.000000E+0,4.251310E-1,4.476258E-1,4.678951E-1,4.895084E-1,5.098149E-1,5.316881E-1,5.527749E-1,5.729033E-1,5.922942E-1,6.114045E-1,6.291851E-1,6.447288E-1,6.604921E-1,6.754579E-1,6.904763E-1,7.036205E-1,7.139983E-1,7.261956E-1,7.342256E-1,7.424259E-1,7.512404E-1,7.604792E-1,7.684547E-1,7.745002E-1,7.815102E-1,7.887825E-1,7.965689E-1,8.027567E-1,8.084891E-1,8.149378E-1,8.225005E-1,8.284944E-1,8.335578E-1,8.396194E-1
"""TR651_T35_P2_dmax-0 M0""","""""","""""",65.35,5.58,23.03,1.459876E-1,1.531186E-1,1.590632E-1,1.624697E-1,1.676757E-1,1.755836E-1,1.836376E-1,1.922249E-1,2.020547E-1,2.142938E-1,2.283945E-1,2.430038E-1,2.579580E-1,2.722498E-1,2.873772E-1,3.041772E-1,3.214546E-1,3.368971E-1,3.509932E-1,3.661180E-1,3.793142E-1,3.931857E-1,4.081795E-1,4.242453E-1,4.401230E-1,4.547391E-1,4.693711E-1,4.844770E-1,4.997413E-1,5.136057E-1,5.266623E-1,5.406381E-1,5.559160E-1,5.700511E-1,5.837678E-1,5.980440E-1
"""TR651_T35_P2_dmax-0 M1""","""""","""""",65.35,5.58,23.03,1.459876E-1,1.531186E-1,1.590632E-1,1.625663E-1,1.677533E-1,1.757007E-1,1.836782E-1,1.922628E-1,2.021296E-1,2.143906E-1,2.284810E-1,2.431110E-1,2.580682E-1,2.723229E-1,2.874969E-1,3.042538E-1,3.216029E-1,3.369407E-1,3.509932E-1,3.661180E-1,3.793142E-1,3.931857E-1,4.081795E-1,4.242453E-1,4.401230E-1,4.547391E-1,4.693711E-1,4.844770E-1,4.997413E-1,5.136057E-1,5.266623E-1,5.406381E-1,5.559160E-1,5.700511E-1,5.837678E-1,5.980440E-1
"""TR651_T35_P2_dmax-0 M2""","""""","""""",65.35,5.57,23.10,0.000000E+0,0.000000E+0,1.590632E-1,1.621384E-1,1.675033E-1,1.753768E-1,1.835065E-1,1.920604E-1,2.018215E-1,2.140910E-1,2.282322E-1,2.428444E-1,2.578089E-1,2.721726E-1,2.872901E-1,3.041197E-1,3.213378E-1,3.368554E-1,3.509932E-1,3.661180E-1,3.793142E-1,3.931857E-1,4.081795E-1,4.242453E-1,4.401230E-1,4.547391E-1,4.693711E-1,4.844770E-1,4.997413E-1,5.136057E-1,5.266623E-1,5.406381E-1,5.559160E-1,5.700511E-1,5.837678E-1,5.980440E-1
"""TR651_T35_P2_dmax-1 M0""","""""","""""",58.19,8.24,23.54,1.173651E-1,1.186128E-1,1.196438E-1,1.208462E-1,1.226118E-1,1.258983E-1,1.296142E-1,1.351545E-1,1.420033E-1,1.499443E-1,1.588861E-1,1.692670E-1,1.813827E-1,1.938201E-1,2.072473E-1,2.215577E-1,2.355654E-1,2.495615E-1,2.633171E-1,2.787254E-1,2.932269E-1,3.083643E-1,3.237292E-1,3.399083E-1,3.558981E-1,3.717460E-1,3.884931E-1,4.060569E-1,4.232592E-1,4.391273E-1,4.551779E-1,4.710919E-1,4.878356E-1,5.038381E-1,5.189226E-1,5.337248E-1
